Sumber Sheet,Tanggal Gabungan,Month,Product,Kategori,Hari,Bulan,Tahun,Batch,Umur,Domisili,Kota,Kota(Jabodetabek),Provinsi,Negara,Background pendidikan,Asal Sekolah,Level pendidikan,Jurusan pendidikan,Jurusan,Jurusan S2 (jika ada),Kesibukan sekarang apa,Kategori Kesibukan,Level Pekerjaan,Kategori Pekerjaan,Waktu terakhir bekerja (kalau lagi nggak kerja/intern),Kegiatan yang dilakukan waktu luang/Hobi,Alasan mengambil kategori Bootcamp,Motivasi mengikuti bootcamp,Dengar Dibimbing darimana,Channel,Mengapa memilih Dibimbing,Pernah/Tidak memiliki pengalaman di bidang yang diambil,Apakah memiliki skill bahasa inggris,Penyaluran Kerja,Blog dibimbing,Community,Pernah ikut acara dibimbing/tidak,Catatan,Pengembalian Kontrak
HR,31/Jan/2025,Jan 2025,Human Resource,CAJC,31,Jan,2025,6,24,Depok, Depok,Jabodetabek,Jawa Barat,Indonesia,Universitas Siliwangi,Universitas Siliwangi,Middle,Akuntansi,Akuntansi,-,Freelance fotografer selama kurang lebih 1 tahun,Pekerja,Middle,Freelance,"Pernah internship di Kantor Konsultan Pajak sebagai bantu-bantu selama 3 bulan, sehingga tidak pernah terdampak lay off ",Olahraga (main futsal),"Kenapa memilih job connector karena lebih tertarik ada program magangnya dan ada sertifikasi BNSP, sehingga lebih memilih yang job connector","Kenapa HR karena dari kuliah merasa passionnya diarah sana dan ikut organisasi lebih relate jobdesknya dengan HR dan buat ekspektasi ikut bootcamp di Dibimbing pengen tahu lebih banyak aplikasi-aplikasi yang digunakan di HR supaya ketika interview di perusahaan sudah ada pengalaman mengenai aplikasi yang digunakan di HR, sehingga untuk tujuan utamanya selain untuk menambah skill baru untuk menunjang career kedepannya",KOL,KOL,"Benefit seperti job connector, magang dan sertifikasi BNSP (kenapa memilih Dibimbing sebenarnya dari segi harga lumayan namun dia yakin ada harga tentunya benefit yang disediakan juga sesuai yang dia butuhkan seperti job connector, magang serta ada sertifikasi BNSP, sehingga lebih memilih Dibimbing)","Benefit seperti job connector, magang dan sertifikasi BNSP (kenapa memilih Dibimbing sebenarnya dari segi harga lumayan namun dia yakin ada harga tentunya benefit yang disediakan juga sesuai yang dia butuhkan seperti job connector, magang serta ada sertifikasi BNSP, sehingga lebih memilih Dibimbing)","Pernah ikut course bahasa inggris sudah lama, namun speakingnya masih pasif",Tertarik,Tertarik,Tidak,Tidak,KOL (tahu Dibimbing dari rekomendasi content creator di tik tok lalu dia tertarik dan dilihat-lihat kemudian register),-
DS,1/Feb/2025,Feb 2025,Data Science,JCJC+,1,Feb,2025,33,19,Surabaya, Surabaya, Surabaya,Jawa Timur,Indonesia,Universitas Brawijaya,Universitas Brawijaya (UB),High,Manajemen,Management,-,Mahasiswa semester 4,Mahasiswa,Low,Mahasiswa,Belum pernah magang atau bekerja karena masih fokus kuliah di semester 4 sehingga tidak pernah terkena dampak layoff,Main game,"Kenapa memilih job connector reguler karena saat ini masih kuliah semester 4 sehingga kebutuhannya hanya untuk upgrade skill dan belajar tentang data science, belum fokus untuk mencari pekerjaan atau switch career","Motivasi mengikuti bootcamp ini karena tidak ingin tertinggal oleh teman-temannya yang sudah magang di beberapa tempat, sehingga ingin mengisi waktu luang saat kuliah dengan mengikuti bootcamp ini agar bisa memiliki portofolio untuk mengejar ketertinggalan teman-temannya",Instagram Ads,Meta Ads,"Testimoni dan harga (setelah searching by instagram untuk mencari platform bootcamp dan algoritma instagram muncul dibimbing, pada awalnya dibimbing tidak masuk kedalam list untuk belajar bootcamp namun setelah melihat review dan harganya akhirnya lebih cocok dengan dibimbing dibandingkan dengan platform lain)","Testimoni dan harga (setelah searching by instagram untuk mencari platform bootcamp dan algoritma instagram muncul dibimbing, pada awalnya dibimbing tidak masuk kedalam list untuk belajar bootcamp namun setelah melihat review dan harganya akhirnya lebih cocok dengan dibimbing dibandingkan dengan platform lain)",Skill bahasa inggris belum terlalu aktif namun sudah ada skill bascinya dan tidka mempunyai sertifikat course/pelatihan ,Tidak Tertarik,,Tidak,Tidak,"Instagram Ads (setelah search platform bootcamp, dan algoritma instagram muncul iklan dibimbing sehingga langsung dicari tahu fasilitas dan programnya sehingga cocok dan mendaftar)",-
HR,1/Feb/2025,Feb 2025,Human Resource,CAJC,1,Feb,2025,6,27,Bekasi,Bekasi,Jabodetabek,Jawa Barat,Indonesia,Universitas Terbuka,Universitas Terbuka,Middle,Ekonomi Manajemen,Ekonomi,-,Mahasiswa semester 4 sekaligus sedang bekerja di salah satu perusahaan China yang berlokasi di Jakarta sebagai sales manager selama 4 bulan,Pekerja,Middle,Karyawan Swasta,"Terakhir bekerja di perusahaan China yang berlokasi di Jakarta sebagai secretary selama 3 tahun dan pernah off 2 tahun karena personal issue, dan melanjutkan kembali di pekerjaan yang sekarang. Sejauh ini tidak pernah terkena dampak lay off",Travelling dan quality time bersama keluarga,Kenapa memilih job connector karena tertarik dengan penyaluran kerjanya dengan harapan nanti bisa switch career ke bekerja di bidang HR sesuai dengan passionnya,"Karena awalnya memang tertarik dengan bidang HR dari lama, dan sekarang bekerja di bidang sales manager merasa pekerjaan saat ini bukan passionnya sehingga ingin switch career ke bidang HR dengan mengikuti bootcamp ini terlebih dahulu agar memiliki basic knowledge dan dapat mengikuti penyaluran kerja agar bisa bekerja di bidang HR tersebut",Google Search Sendiri,Organic,"Top 1 result di website dan fast respon admin (setelah searching by google dan melihat dibimbing berada di Top 1 yang menyediakan bootcamp HR sehingga langsung mencari tahu lebih lanjut dan menghubungi admin. Selain itu, adminnya juga fast respon dengan semua infromasi bootcamp sehingga langsung memutuskan untuk mendaftar)","Top 1 result di website dan fast respon admin (setelah searching by google dan melihat dibimbing berada di Top 1 yang menyediakan bootcamp HR sehingga langsung mencari tahu lebih lanjut dan menghubungi admin. Selain itu, adminnya juga fast respon dengan semua infromasi bootcamp sehingga langsung memutuskan untuk mendaftar)",Skill bahasa inggris masih kurang dan hanya basicnya saja serta tidak memiliki sertifikat course/pelatihan,Tertarik,Tertarik,Tidak,Tidak,"Google search sendiri (setelah memutuskan ingin belajar HR karena ingin switch career maka langsung searching platform botocamp di google, dam melihat dibimbing berada diurutan pertama dari hasil search tersebut)",-
DS,1/Feb/2025,Feb 2025,Data Science,JCJC+,1,Feb,2025,32B+,26,Tasikmalaya, Tasikmalaya, Tasikmalaya,Jawa Barat,Indonesia,Universitas Instan cipta indoensia,Sekolah Tinggi Akuntansi Negara (STAN),Middle,Psikologi,Psikologi,-,Saat ini parenting bersama ibu lebih ke konseling selama 2 tahun,Other,Middle,Wirausaha,Pernah bekerja di mekanik dan IT selama 3 bulan di bidang developmen game,Olahraga dan tarveling,Kenapa memilih job connector + karena dari fasilitas yang diberikan,Ingin menambah skill untuk mengembangkan usaha dan juga membuka peluang kerja di bidang data dan bisa bekerja di rumah,Referral,Refferal,Sudah banyak kerja sama dengan perusahaan dan testimoni dari teman teman,Sudah banyak kerja sama dengan perusahaan dan testimoni dari teman teman,Pernah memiliki sertfifikat bahasa inggris,Tertarik,,Tidak,Tidak,Referral (Punya teman yang bekerja di telkom dan pernah ikut bootcamp fasilitas dari kantor0,-
DM,1/Feb/2025,Feb 2025,Digital Marketing,JCJC+,1,Feb,2025,29+,22,Medan, Medan, Medan,Sumatra Utara,Indonesia,Universitas Pelita Harapan,Universitas Pelita Harapan (UPH),Middle,,,-,Job seeker,Job seeker,Low,Job Seeker,Pernah magang program kampus di pertamina suplay cang managment 4 bulan,Belajar hal baru,Kenapa memilih job connector + karena benefitnya lebih banyak dan pelaung lebih besar untuk bekerja di luar,Banyak peluang di bidang marketing dan di daerah medan sendiri kurang berkembang di bidang digital marketing jadi ingin memperbanyak projek dan ,Referral,Refferal,Pernah zoom dengan revou dan dari banyak pertimbangan sendiri dibimbing karena ,Pernah zoom dengan revou dan dari banyak pertimbangan sendiri dibimbing karena ,Belum pernah test tetapi untuk inggis skill lebih ke intermediet dan aktif berbahasa inggris dan memiliki teman dan pernah event di singapur ,Tertarik,Tidak,Tidak,Tidak,Refferal (rekomendari dari senior kampus pernah ikut program dibimbing di produk management dan dari situ mencari infromasi tentang program dibimbing),
BI,2/Feb/2025,Feb 2025,Business Intelligence,CAJC,2,Feb,2025,16,21,Bekasi Timur ,Bekasi,Jabodetabek,Jawa Barat,Indonesia,Universitas Bina Nusantara,Universitas Bina Nusantara (BINUS),High,Business Management,Bisnis,-,Mahasiswa semester akhir dan sedang internship sebagai admin CRM sudah hampir 6 bulan,Pekerja,Low,Mahasiswa,Belum pernah bekerja dan sekarang lagi internship sebagai admin CRM sudah hampir 6 bulan,Menonton youtube dan netflix,Kenapa memilih job connector karena ingin mendapatkan fasilitas job connector agar bisa tersalurkan kerja di bidang BI,"Motivasi mengikuti bootcamp karena ingin mengasah skillnya dan bekerja di bidang business intelligence, sehingga belajar melalui bootcamp ini sebagai basic knowledge",Google Search Sendiri,Organic,"Hanya dibimbing yang memiliki bootcamp BI (setelah searching di google, dari beberapa platform hanya dibimbing yang menyediakan bootcmap BI sehingga memilih dibimbing untuk belajar BI)","Hanya dibimbing yang memiliki bootcamp BI (setelah searching di google, dari beberapa platform hanya dibimbing yang menyediakan bootcmap BI sehingga memilih dibimbing untuk belajar BI)",Skill bahasa inggris sudah ada dan pernah mengikuti course di EF,Tertarik,Tidak,Tidak,Tidak,"Google serach sendiri (setelah searching di google, dari beberapa platform hanya dibimbing yang menyediakan bootcmap BI sehingga memilih dibimbing untuk belajar BI)",-
PMPM,2/Feb/2025,Feb 2025,Product Management,JCJC+,2,Feb,2025,14+,23,Jakarta Selatan,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Brawijaya,Universitas Brawijaya (UB),High,Ilmu Ekonomi,Ilmu Ekonomi,-,Job Seeker,Job seeker,Low,Job Seeker,Pernah magang di bidang bisnis developmnet selama 6 bulan,Bersosialisasi,Kenapa memilih Job connector + karena sudah ada magang dan juga bergaransi penyaluran kerja,,Google Ads,Google Ads,Karena dari fasilitas job connector,Karena dari fasilitas job connector,B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,Tidak,Tidak,Tidak,Google ads (awal cari informasi program bootcamp data analis dan melihat web dibimbing dan banyak program dan tertarik untuk mendaftar),
ML,2/Feb/2025,Feb 2025,AI Machine Learning,CAJC,2,Feb,2025,6,21,"Jakarta Selatan, DKI Jakarta",Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Bina Nusantara,Universitas Bina Nusantara (BINUS),High,Komputer sens,Computer Science,-,"Mahasiswa semester 7, magang sebagai IT Assistant 1 tahun",Pekerja,Middle,Freelance,Masih mahasiswa dan masih magang dari kampus 1 tahun,Main musik dan apapun yang berhubungan dengan musik,Kenapa memilih Career accelerator karena masih kuliah dan fokus ke kuliah terlebih dahulu,"Memiliki skills untuk membangun model machine learning untuk aspek apapun yang nantinya bisa memenuhi kebutuhan perusahaan, membangun koneksi yang baik untuk menjadi salah satu faktor keberhasilan dan kelancaran proses bootcamp hingga akhir untuk lanjut ke level pekerjaan yang lebih tinggi",Instagram Ads,Meta Ads,Dari kurikulum dan juga materi yang diberikan untuk persiapan ke dunia kerja dan juga dari jadwal bootcampnya sendiri,Dari kurikulum dan juga materi yang diberikan untuk persiapan ke dunia kerja dan juga dari jadwal bootcampnya sendiri,B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,Tidak,Tidak,Tidak,Instagram ads (tahu Dibimbing dari beranda IG dan mencari infromasi lebih detail dan tertarik untuk mendaftar),
UIUX,2/Feb/2025,Feb 2025,UI/UX,JCJC+,2,feb,2025,29+,23,"Palembang, Sumatera Selatan", Palembang, Palembang,Sumatera Selatan,Indonesia,Institut Teknologi Sumatera,Institut Teknologi Sumatera,Middle,Arsitektor,Teknologi Informasi,-,Job Seeker,Job seeker,Low,Job Seeker,Belum pernah bekerja dan magang sehingga tidak terkena dampak lay off,Olaraga,Kenapa memilih Job connector + karena benefitnya lebih lengkap,Mencari pekerjaan dan mendapatkan skill sesuai dengan industri 4.0,Instagram Ads,Meta Ads,Karena ada program magang dan portofolio student bagus bagus,Karena ada program magang dan portofolio student bagus bagus,B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,,Tidak,Tidak,Instagram ads,
DS,2/Feb/2025,Feb 2025,Data Science,JCJC+,2,Feb,2025,33+,21,"Surabaya, Jawa Timur ", Surabaya, Surabaya,Jawa Timur,Indonesia,Institut Teknologi Sepuluh Nopember ,Institut Teknologi Sepuluh Nopember (ITS),High,S1 (Teknik Informatika),Teknik Informatika,-,Mahasiswa semester 6,Mahasiswa,Low,Mahasiswa,Belum pernah magang atau bekerja karena masih fokus kuliah di semester 4 sehingga tidak pernah terkena dampak layoff,Menonton Film,Kenapa memilih job connector + karena ada program magang,upgrade knowledge dan portofolio ,Instagram Ads,Meta Ads,Pernah lihat beberapa bootcamp lain tetapi lebih tertarik ke dibimbing dari benefit yang diberikan,Pernah lihat beberapa bootcamp lain tetapi lebih tertarik ke dibimbing dari benefit yang diberikan,B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,,Tidak,Ya,Pernah ikut event dibimbing digital skill fair 35,
DS,2/Feb/2025,Feb 2025,Data Science,JCJC+,2,Feb,2025,35+,30,Bandung, Bandung, Bandung,Jawa Barat,Indonesia,Universitas Brawijaya,Universitas Brawijaya (UB),High,Ilmu Keperawatan,Keperawatan,Keperawatan (Universitas Padjajaran),Mahasiswa S2,Mahasiswa,Low,Mahasiswa,Pernah menjadi perawat selama 4-5 tahun dari 2021 dan saat ini sedang off karena fokus kuliah S2,Nongkrong bersama teman,Kenapa memilih job connector+ karena sangat tertarik dengan program magangnya karena menurutnya sangat penting untuk bisa magang sebelum memulai pekerjaan di bidang data science,"Karena pada awalnya ngerasa menjadi perawat bukan bidangnya dan sering merasa burnout, sehingga melakukan test kepribadian yang menunjukkan hasilnya bahwa lebih cocok bekerja di bidang analis atau data, sehingga daftar di bootcamp ini untuk switch career dari perawat mejadi data scientist",Tik Tok Ads,TikTok Ads,"Magang dan harga lebih affordable (karena dibimbing ada program magangnya dan juga setelah compare dengan paltform lain, dari segi harga lebih affordable dibandingkan dengan platform lain yang memiliki fasilitas tidak selengkap dibimbing)","Magang dan harga lebih affordable (karena dibimbing ada program magangnya dan juga setelah compare dengan paltform lain, dari segi harga lebih affordable dibandingkan dengan platform lain yang memiliki fasilitas tidak selengkap dibimbing)","Skill bahasa inggris masih kurang dan belum terlalu aktif, pernah mengikuti course di English Academy",Tertartik,,Tidak,Ya,Tiktok Ads (melihat FYP dibimbing karena sebelumnya search platform platform bootcamp),-
DS,2/Feb/2025,Feb 2025,Data Science,JCJC+,2,Feb,2025,32B,25,Jakarta Timur,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Negeri Jakarta,Universitas Negeri Jakarta (UNJ),Middle,Pendidikan Matematika,Pendidikan Matematika,Pendidikan Matematika (Universitas Negeri Yogyakarta),Mengajar matematika secara freelance kurang lebih sudah 5 tahun,Pekerja,Middle,Freelance,Saat ini pekerjaan pertama dan tidak pernah terkena dampak layoff,Belajar bahasa inggris,"Kenapa memilih job connector reguler karena jika memilih yang program+ waktu magang bentrok dengan pekerjaan saat ini, sehingga tidak bisa mengikuti magangnya maka memilih job connector reguler","Motivasi mengikuti bootcamp pertama mendapat testiomoni dari temannya yang mengikutui bootcamp DS di bimbing juga an Mutia, sehingga tertarik dan ingin switch career ke bidang data",Referral,Refferal,"Testimoni teman dan harga lebih terjangkau (mendapat testiomoni dari temannya yang mengikutui bootcamp DS di bimbing juga an Mutia sehingga tertarik. Selain itu, melihat dari segi harganya lebih terjangkau dibandingkan dengan platform lainnya)","Testimoni teman dan harga lebih terjangkau (mendapat testiomoni dari temannya yang mengikutui bootcamp DS di bimbing juga an Mutia sehingga tertarik. Selain itu, melihat dari segi harganya lebih terjangkau dibandingkan dengan platform lainnya)",Skill bahasa inggris belum terlalu aktif dan belum memiliki sertifikat course/pelatihan,Tertarik,,Tidak,Tidak,"Referral teman (mendapat testiomoni dari temannya yang mengikutui bootcamp DS di bimbing juga an Mutia, sehingga tertarik dan mendaftar)",-
UIUX,2/Feb/2025,Feb 2025,UI/UX,JCJC+,2,feb,2025,29,19,"Bandung, Jawa Barat", Bandung, Bandung,Jawa Barat,Indonesia,Universitas Teknologi bandung,Universitas Teknologi bandung,Middle,Teknik Informatika,Teknik Informatika,-,Mahasiswa Semester 1,Mahasiswa,Low,Mahasiswa,Pernah PKL pas SMK selama 11 bulan di bidang grafik desain dan sosial media desain,Jalan jalan,Kenapa memilih job connector regular karena sesuai dengan kebutuhan saat ini,Dapet kerjaan baru yang mumpuni. Meningkatnya Critical Thinking,Linkedin,Linkedin,Dari materi yang di berikan lebih lengkap,Dari materi yang di berikan lebih lengkap,B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,,Tidak,Tidak,Linkind (infromasi dari pacar yang lihat postingan di linkind),
HR,3/Feb/2025,Feb 2025,Human Resource,CAJC,3,Feb,2025,6,25,"Bogor, Jawa Barat", Bogor,Jabodetabek,Jawa Barat,Indonesia,S1 dan S2 (STIE Indonesia Banking School),Sekolah Tinggi Ilmu Ekonomi (STIE),Middle,Management,Management,Management,Pengusaha & Job Seeker,Job seeker,Low,Job Seeker,"Pernah menjadi HR Staf di salah satu perusahaan penyedia jasa pembiayaan selama 2 tahun 9 bulan dan bekerja dengan tugas terspesialisasi di HR Personal Administrasi, khususnya pengelolaan database karyawan dan evaluasi kontrak kerja denganmenggunakan HRIS dan pembuatan report menggunakan Excel lalu resign, sehingga tidak pernah terdampak lay off",-,"Kenapa memilih job connector karena planningnya setelah graduation dari bootcamp ini ingin dibantu disalurkan kerja, sehingga lebih memilih job connector yang sudah sesuai kebutuhannya saat ini",Memperluas pengetahuan terkait HR dan mendapatkan pekerjaan yang mempunyai jenjang karir yang baik,Google Search Sendiri,Organic,"Testimoni (kenapa memilih Dibimbing karena lihat testimoni alumni terkait kelas, proses pembelajarannya sampai diterima kerja membuat dia yakin dan memilih Dibimbing)","Testimoni (kenapa memilih Dibimbing karena lihat testimoni alumni terkait kelas, proses pembelajarannya sampai diterima kerja membuat dia yakin dan memilih Dibimbing)",A2 Pre-intermediate (use the language for daily activities with vocab level approximating 1500 words),Tertarik,Tidak,Tidak,Tidak,Google search sendiri (dia tahu Dibimbing karena cari dari google untuk course human resources lalu menemukan salah satunya Dibimbing dilihat-lihat tertarik dan register) ,-
HR,3/Feb/2025,Feb 2025,Human Resource,CAJC,3,Feb,2025,6,22,"Semarang, Jawa Tengah", Semarang, Semarang,Jawa Tengah,Indonesia,Universitas Dian Nuswantoro,Universitas Dian Nuswantoro,Middle,Management,Management,-,Mahasiswa semester akhir,Mahasiswa,Low,Mahasiswa,"Pernah memiliki pengalaman magang di bea cukai tanjung emas batch 3 di bagian devisi penindakan & penyidikan , dan pelayanan informasi, sehingga tidak pernah terdampak lay off",-,"Kenapa memilih job connector karena nanti akan dipandu sampai mendapatkan kerja, sehingga sudah sesuai kebutuhannya saat ini untuk program job connector ini","Agar bisa meningkatkan skill, meningkatkan portofolio dan mendapatkan pekerjaan setelah lulus ",KOL,KOL,Testimoni (lebih memilih Dibimbing karena dari segi testimoni bagus-bagus),Testimoni (lebih memilih Dibimbing karena dari segi testimoni bagus-bagus),A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,Tidak,Tidak,Tidak,KOL (tahu Dibimbing dari content creator di tik tok yang merekomendasikan Dibimbing lalu dilihat-lihat di komennya tertarik dan register),-
HR,3/Feb/2025,Feb 2025,Human Resource,CAJC,3,Feb,2025,6,26,"Tangerang, Banten",Banten,Banten,Banten,Indonesia,Universitas Muhammadiyah Surakarta,Universitas Muhammadiyah (UM),Middle,Psychology,Psikologi,-,Bekerja sebagai Staff HRD,Pekerja,Middle,Karyawan Swasta,-,-,"Kenapa memilih career accelerator karena dia sudah bekerja saat ini dan ingin memperdalam materi kalau untuk job connector untuk yang cari kerja, sehingga yang career accelerator sudah sesuai kebutuhannya saat ini","Motivasi : saat ini kondisi situasi di perusahaan saya kerja di tuntut untuk bisa semua bidang human resource, staff di bagian HR cm 2, dan staff nya hanya saya jadi untuk semua urusan langsung ke saya, mungkin karena keadaan itu jadi memotivasi saya untuk harus bisa jadi Staff HR yang bisa dipercaya dan di andalkan.

Ekspektasi : Ilmu saya yang pasti bertambah soal HR, lebih confident menjadi staff HR, bisa kasih impact ke semua staff dan kalau bisa kalau saya keluar dari perusahaan saya yang sekarang, saya bisa ninggalin legacy di sana.",Referral,Refferal,Rekomendasi kakaknya dan tertarik dengan program human resources career accelerator (kenapa memilih Dibimbing karena rekomendasi kakaknya membuat dia yakin dan ketika konsultasi dengan pihak Dibimbing tertarik dengan program HR career accelerator ini) ,Rekomendasi kakaknya dan tertarik dengan program human resources career accelerator (kenapa memilih Dibimbing karena rekomendasi kakaknya membuat dia yakin dan ketika konsultasi dengan pihak Dibimbing tertarik dengan program HR career accelerator ini) ,B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,Tidak,Tidak,Tidak,Referral kakak (dia tidak tahu kakaknya pernah ikut bootcamp di Dibimbing atau tidak),-
HR,3/Feb/2025,Feb 2025,Human Resource,CAJC,3,Feb,2025,6,21,"Surabaya, Jawa Timur", Surabaya, Surabaya,Jawa Timur,Indonesia,Universitas Airlangga,Universitas Airlangga (UNAIR),High,Hubungan Internasional),Hubungan Internasional,-,Mahasiswa semester akhir dan mengerjakan skripsi,Mahasiswa,Low,Mahasiswa,-,-,"Kenapa memilih career accelerator karena harga kelasnya lebih murah dan waktunya lebih singkat dibandingkan yang job connector serta dia hanya ingin menambah skill saja, sehingga sudah sesuai kebutuhannya saat ini yang career accelerator","Bisa belajar banyak tentang apa itu HR, bagaimana pekerjaannya dsb. harapannya ilmu yang didapat bisa diterapkan untuk dunia karir nantinya.",Tik Tok Ads,TikTok Ads,Testimoni (kenapa memilih Dibimbing karena Dibimbing platform yang besar dan review alumninya bagus dan darisitu sudah yakin dan memilih Dibimbing),Testimoni (kenapa memilih Dibimbing karena Dibimbing platform yang besar dan review alumninya bagus dan darisitu sudah yakin dan memilih Dibimbing),B2 Upper-intermediate (communicate confidently about many topics with vocab level approximating 4000 words),Tidak tertarik,Tidak,Tidak,Tidak,Tik tok Ads (tahu Dibimbing dari tik tok muncul di fyp lalu dilihat dikomenan banyak yang merekomendasikan Dibimbing lalu dilihat-lihat tertarik dan register),-
HR,3/Feb/2025,Feb 2025,Human Resource,CAJC,3,Feb,2025,6,27,"Majalengka, Jawa Barat", Majalengka, Majalengka,Jawa Barat,Indonesia,Universitas Pendidikan Indonesia,Universitas Pendidikan Indonesia (UPI),Middle,S1 Pendidikan Biologi,Pendidikan Biologi,-,Job Seeker,Job seeker,Low,Job Seeker,Pernah selama 2 bulan di kampus,belajar inggris & mandarin + seputar perusahaan (HR salah satunya),Kenapa memilih Job Connector dari fasilitas yang diberikan,"dapat membantu saya swith career ke ranah HR, selain dari kelasnya diharapkan dapat banyak pengalaman real case untuk portofolio sukur-sukur dapat relasi juga kedepannya",Instagram Ads,Meta Ads,Dari program magang dan jangka belajar bootcamp serta portofolio ,Dari program magang dan jangka belajar bootcamp serta portofolio ,B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,Tidak,Tidak,Tidak,Instagram ads (Cari cari program bootcamp dan muncul dibimbing lalu tertarik ikut mendaftar),
HR,3/Feb/2025,Feb 2025,Human Resource,CAJC,3,Feb,2025,6,24,Jakarta Pusat,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Brawijaya,Universitas Brawijaya (UB),High,S1 Psikologi,Psikologi,-,"Job Seeker, Volunteer sebagai Peer Counselor selama 1 tahun",Job seeker,Low,Job Seeker,Membantu usaha orang tua,Menulis,Kenapa memilih Job Connector karena di bantu untuk mencari dan mempersiapkan kerja,"Semasa kuliah, saya tidak banyak bersinggungan dengan bidang/area HR terlepas jurusan saya psikologi. Untuk itu, saya berharap bisa belajar dan diarahkan dari 0 di bidang HR hingga didampingi sampai mendapat pekerjaan. Saya ingin bisa bekerja sesuai jurusan dan jenjang pendidikan yang saya ambil yakni S1 Psikologi. Saya harap dibimbing.id bisa memanfaatkan background pendidikan saya dan membantu saha menjadikannya tools serta nilai plus agar saya bisa bersaing dan lebih unggul dari yang lain.",Tik Tok Ads,TikTok Ads,"Dari testimoni alumi dibimbing, terdapat job connector serta dari materi yang diberikan ","Dari testimoni alumi dibimbing, terdapat job connector serta dari materi yang diberikan ",B2 Upper-intermediate (communicate confidently about many topics with vocab level approximating 4000 words),Tertarik,Tidak,Tidak,Tidak,Tik tok Ads (tahu Dibimbing dari tik tok muncul di fyp lalu dilihat dikomenan banyak yang merekomendasikan Dibimbing lalu dilihat-lihat tertarik dan register),
FE,3/Feb/2025,Feb 2025,Web Development (FE),JCJC+,3,Feb,2025,23,20,"Majalengka, Jawa barat", Majalengka, Majalengka,Jawa Barat,Indonesia,Universitas Terbuka ,Universitas Terbuka,Middle,Sistem Informasi,Sistem Informasi,-,Mahasiswa semester 2,Mahasiswa,Low,Mahasiswa,-,-,"Kenapa memilih job connector reguler karena masih mahasiswa semester 2 dan untuk saat ini ingin memperdalam skill serta untuk bisa membuka freelance buat uang jajan nantinya, sehingga lebih memilih yang job connector reguler ",Motivasi saya ingin menambah skill digital terutama di dunia it.  saya berharap setelah bootcamp mudah mendapatkan kerja.,Instagram Ads,Meta Ads,Harga affordable (kenapa memilih Dibimbing karena harganya paling affordable ngga sampai puluhan juta dan sesuai dengan budgednya),Harga affordable (kenapa memilih Dibimbing karena harganya paling affordable ngga sampai puluhan juta dan sesuai dengan budgednya),B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,Tidak,Tidak,Tidak,Instagram Ads (tahu Dibimbing dari ads instagram yang tiba-tiba muncul lalu dilihat-lihat tertarik dan register),-
CS,3/Feb/2025,Feb 2025,Cyber Security,CAJC,3,Feb,2025,1,25,"MAKASSAR, SULAWESI SELATAN", Makassar, Makassar,Sulawesi Selatan,Indonesia,SMA,SMA,Low,IPA,IPA,-,Job Seeker,Job seeker,Low,Job Seeker,-,-,Kenapa memilih Job connector karena ada fasilitasnya,Meningkatkan skill praktikal dan menambah wawasan nantinya bila sudah saatnya bekerja dibidang tertentu,Youtube,Youtube,Dapat infromasi orang tua dan lebih yakin untuk mendaftarakan diri ke dibmbing,Dapat infromasi orang tua dan lebih yakin untuk mendaftarakan diri ke dibmbing,A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,,Tidak,Tidak,Youtube (saat ingin belajar secara mandiri di youtube dan muncul dibimbing),-
